,surface,tourney_level,second_id,second_hand,second_ht,second_age,first_id,first_hand,first_ht,first_age,best_of,round,second_rank,second_rank_points,first_rank,first_rank_points,tourney_year,label
73946,1.0,3.0,104527.0,1.0,183.0,28.1,104745.0,0.0,185.0,26.9,5.0,3.0,10.0,2630.0,4.0,6895.0,2013.0,1.0
99127,3.0,3.0,104269.0,0.0,188.0,29.1,104731.0,1.0,203.0,26.6,5.0,6.0,24.0,1445.0,31.0,1170.0,2013.0,1.0
106523,3.0,0.0,105238.0,1.0,180.0,27.2,106071.0,1.0,193.0,23.3,3.0,9.0,32.0,1240.0,21.0,1675.0,2016.0,1.0
136697,2.0,0.0,105173.0,0.0,183.0,29.9,106000.0,1.0,172.0,26.0,3.0,2.0,24.0,1580.0,30.0,1460.0,2018.0,1.0
140482,3.0,0.0,200000.0,1.0,193.0,21.5,126774.0,1.0,193.0,23.4,3.0,2.0,9.0,3818.0,4.0,7145.0,2022.0,0.0
26914,3.0,0.0,103898.0,1.0,185.0,31.1,105668.0,1.0,203.0,22.2,3.0,5.0,31.0,1235.0,26.0,1374.0,2013.0,1.0
137975,3.0,4.0,105138.0,1.0,183.0,28.9,105023.0,1.0,198.0,29.4,3.0,6.0,18.0,2190.0,27.0,1445.0,2017.0,0.0
97756,3.0,0.0,111202.0,1.0,188.0,22.3,133430.0,0.0,185.0,19.4,3.0,6.0,23.0,1630.0,31.0,1295.0,2018.0,1.0
114939,3.0,0.0,103970.0,1.0,175.0,32.5,104918.0,1.0,190.0,27.4,3.0,2.0,5.0,4585.0,11.0,3635.0,2014.0,1.0
1471,3.0,3.0,206173.0,1.0,188.0,20.4,126774.0,1.0,193.0,23.4,5.0,3.0,10.0,3390.0,4.0,6540.0,2022.0,1.0
86993,3.0,4.0,104745.0,0.0,185.0,27.7,104607.0,1.0,196.0,28.4,3.0,9.0,1.0,13130.0,7.0,4540.0,2014.0,0.0
200308,3.0,0.0,105676.0,1.0,180.0,28.8,133430.0,0.0,185.0,20.4,3.0,5.0,15.0,2055.0,32.0,1355.0,2019.0,0.0
175655,3.0,4.0,104259.0,1.0,178.0,29.9,105223.0,1.0,198.0,25.0,3.0,6.0,23.0,1445.0,5.0,4925.0,2013.0,1.0
138520,3.0,3.0,104745.0,0.0,185.0,31.6,106043.0,1.0,170.0,25.4,5.0,5.0,1.0,10600.0,26.0,1675.0,2018.0,0.0
199694,3.0,4.0,111575.0,1.0,198.0,23.2,104527.0,1.0,183.0,34.3,3.0,6.0,8.0,2890.0,22.0,1715.0,2019.0,0.0
61203,1.0,4.0,103852.0,0.0,188.0,33.6,104919.0,1.0,188.0,27.9,3.0,6.0,12.0,2380.0,27.0,1352.0,2015.0,1.0
101520,3.0,3.0,104731.0,1.0,203.0,28.6,104755.0,1.0,185.0,28.5,5.0,6.0,15.0,2125.0,28.0,1350.0,2015.0,0.0
54810,3.0,3.0,104925.0,1.0,188.0,26.6,104527.0,1.0,183.0,28.7,5.0,3.0,2.0,12260.0,8.0,3890.0,2014.0,1.0
53448,3.0,4.0,124187.0,1.0,211.0,23.9,105138.0,1.0,183.0,33.3,3.0,3.0,32.0,1741.0,18.0,2585.0,2021.0,0.0
139186,1.0,0.0,104597.0,1.0,183.0,27.6,104338.0,1.0,185.0,29.0,3.0,3.0,12.0,2450.0,20.0,1785.0,2013.0,0.0
187552,3.0,3.0,104918.0,1.0,190.0,28.6,106071.0,1.0,193.0,23.2,5.0,5.0,2.0,8945.0,17.0,1720.0,2016.0,0.0
101601,3.0,2.0,100644.0,1.0,198.0,20.5,105227.0,1.0,198.0,29.1,3.0,8.0,3.0,4410.0,5.0,3805.0,2017.0,0.0
96453,1.0,4.0,104259.0,1.0,178.0,30.4,104542.0,1.0,188.0,28.9,3.0,6.0,25.0,1510.0,12.0,2550.0,2014.0,1.0
16413,1.0,0.0,106233.0,1.0,185.0,25.6,105550.0,0.0,185.0,28.9,3.0,3.0,5.0,4675.0,28.0,1375.0,2019.0,0.0
140174,3.0,0.0,104755.0,1.0,185.0,29.3,103333.0,1.0,208.0,36.6,3.0,3.0,11.0,2580.0,23.0,1485.0,2015.0,0.0
182925,3.0,0.0,105023.0,1.0,198.0,27.8,105227.0,1.0,198.0,26.8,3.0,5.0,32.0,1140.0,8.0,3495.0,2015.0,1.0
184954,3.0,4.0,111575.0,1.0,198.0,23.2,106421.0,1.0,198.0,23.4,3.0,9.0,8.0,2890.0,9.0,2745.0,2019.0,1.0
205732,3.0,4.0,104312.0,1.0,190.0,30.0,104527.0,1.0,183.0,28.9,3.0,6.0,32.0,1195.0,3.0,5650.0,2014.0,1.0
115636,3.0,4.0,105777.0,1.0,188.0,22.3,105453.0,1.0,178.0,23.7,3.0,7.0,28.0,1375.0,18.0,1840.0,2013.0,1.0
125570,3.0,0.0,105453.0,1.0,178.0,26.0,106071.0,1.0,193.0,23.2,3.0,3.0,8.0,4235.0,18.0,1675.0,2016.0,1.0
126320,3.0,0.0,104607.0,1.0,196.0,32.4,106000.0,1.0,172.0,25.7,3.0,3.0,17.0,2230.0,29.0,1490.0,2018.0,0.0
93089,3.0,0.0,105453.0,1.0,178.0,25.1,104731.0,1.0,203.0,28.7,3.0,9.0,5.0,5205.0,15.0,2125.0,2015.0,0.0
193601,3.0,4.0,104545.0,1.0,206.0,28.2,105683.0,1.0,196.0,22.6,3.0,5.0,22.0,1585.0,10.0,2645.0,2013.0,0.0
124073,3.0,4.0,126205.0,1.0,185.0,25.2,133430.0,0.0,185.0,23.3,3.0,6.0,31.0,1330.0,21.0,1560.0,2022.0,1.0
156970,3.0,3.0,126610.0,1.0,196.0,25.3,104925.0,1.0,188.0,34.2,5.0,3.0,8.0,5533.0,1.0,11113.0,2021.0,1.0
181332,3.0,4.0,105453.0,1.0,178.0,26.6,106071.0,1.0,193.0,23.8,3.0,5.0,7.0,4075.0,21.0,1645.0,2016.0,1.0
12321,1.0,4.0,105453.0,1.0,178.0,25.3,104918.0,1.0,190.0,27.9,3.0,9.0,5.0,5280.0,3.0,6220.0,2015.0,1.0
16235,3.0,0.0,104198.0,1.0,188.0,31.7,104269.0,0.0,188.0,31.2,3.0,6.0,26.0,1405.0,31.0,1225.0,2015.0,1.0
166100,1.0,0.0,104198.0,1.0,188.0,31.8,104731.0,1.0,203.0,28.9,3.0,5.0,31.0,1235.0,17.0,1960.0,2015.0,0.0
171745,3.0,4.0,104745.0,0.0,185.0,27.7,104925.0,1.0,188.0,26.8,3.0,2.0,1.0,13130.0,2.0,10900.0,2014.0,1.0
94299,1.0,4.0,105683.0,1.0,196.0,22.3,104259.0,1.0,178.0,29.5,3.0,7.0,16.0,2225.0,22.0,1670.0,2013.0,1.0
12044,3.0,4.0,105777.0,1.0,188.0,27.2,104269.0,0.0,188.0,34.7,3.0,6.0,5.0,4610.0,31.0,1305.0,2018.0,0.0
31125,2.0,0.0,104999.0,0.0,190.0,29.8,103819.0,1.0,185.0,35.8,3.0,5.0,29.0,1371.0,5.0,4765.0,2017.0,1.0
175509,3.0,4.0,104918.0,1.0,190.0,27.8,105053.0,1.0,188.0,27.3,3.0,6.0,4.0,5695.0,31.0,1195.0,2015.0,0.0
159433,1.0,3.0,104925.0,1.0,188.0,35.0,106043.0,1.0,170.0,29.7,5.0,5.0,1.0,8660.0,16.0,2505.0,2022.0,0.0
60807,1.0,4.0,104918.0,1.0,190.0,28.9,105676.0,1.0,180.0,25.4,3.0,3.0,3.0,7525.0,13.0,2570.0,2016.0,0.0
151834,3.0,0.0,103990.0,1.0,180.0,33.3,105683.0,1.0,196.0,24.7,3.0,3.0,27.0,1315.0,9.0,2790.0,2015.0,1.0
66944,1.0,3.0,106043.0,1.0,170.0,25.7,104745.0,0.0,185.0,31.9,5.0,3.0,12.0,2165.0,1.0,8770.0,2018.0,1.0
182689,1.0,0.0,104312.0,1.0,190.0,31.4,104745.0,0.0,185.0,29.1,3.0,9.0,26.0,1355.0,10.0,3000.0,2015.0,1.0
39761,1.0,4.0,104755.0,1.0,185.0,28.8,104607.0,1.0,196.0,29.6,3.0,6.0,23.0,1535.0,7.0,4960.0,2015.0,1.0
53189,3.0,3.0,105223.0,1.0,198.0,28.9,106233.0,1.0,185.0,23.9,5.0,5.0,28.0,1460.0,8.0,4030.0,2017.0,0.0
68971,3.0,3.0,104745.0,0.0,185.0,32.2,111575.0,1.0,198.0,22.2,5.0,6.0,1.0,10040.0,26.0,1525.0,2018.0,0.0
31665,3.0,4.0,103819.0,1.0,185.0,32.2,104925.0,1.0,188.0,26.4,3.0,9.0,6.0,4245.0,2.0,11120.0,2013.0,1.0
134387,3.0,4.0,104926.0,1.0,178.0,30.8,106401.0,1.0,193.0,22.8,3.0,6.0,18.0,2155.0,20.0,1945.0,2018.0,1.0
146808,1.0,0.0,104597.0,1.0,183.0,28.6,104269.0,0.0,188.0,30.3,3.0,2.0,20.0,1750.0,29.0,1270.0,2014.0,1.0
188337,3.0,3.0,104527.0,1.0,183.0,28.7,104607.0,1.0,196.0,28.3,5.0,9.0,8.0,3890.0,7.0,4180.0,2014.0,0.0
136479,3.0,0.0,106432.0,1.0,188.0,21.9,104731.0,1.0,203.0,32.4,3.0,3.0,13.0,2415.0,8.0,3730.0,2018.0,1.0
188623,3.0,4.0,104545.0,1.0,206.0,28.8,105208.0,1.0,190.0,25.5,3.0,3.0,13.0,2320.0,22.0,1616.0,2014.0,0.0
149008,3.0,4.0,104925.0,1.0,188.0,28.4,104468.0,1.0,183.0,30.8,3.0,5.0,1.0,15785.0,15.0,2100.0,2015.0,0.0
178557,1.0,0.0,105777.0,1.0,188.0,24.9,103333.0,1.0,208.0,37.1,3.0,9.0,29.0,1295.0,31.0,1235.0,2016.0,0.0
94911,3.0,0.0,105554.0,1.0,175.0,32.4,133430.0,0.0,185.0,23.5,3.0,3.0,26.0,1515.0,19.0,1925.0,2022.0,1.0
135942,2.0,3.0,104925.0,1.0,188.0,32.1,105676.0,1.0,180.0,28.5,5.0,3.0,1.0,12415.0,23.0,1510.0,2019.0,0.0
181565,3.0,4.0,104792.0,1.0,193.0,34.9,200282.0,1.0,183.0,22.4,3.0,6.0,22.0,2423.0,18.0,2600.0,2021.0,0.0
153733,2.0,0.0,104731.0,1.0,203.0,30.0,106071.0,1.0,193.0,23.6,3.0,6.0,20.0,1760.0,22.0,1625.0,2016.0,1.0
183181,1.0,4.0,105676.0,1.0,180.0,24.4,103970.0,1.0,175.0,33.1,3.0,3.0,20.0,1705.0,8.0,4310.0,2015.0,1.0
30966,3.0,1.0,111575.0,1.0,198.0,23.4,104925.0,1.0,188.0,32.4,3.0,8.0,17.0,1840.0,2.0,9145.0,2019.0,1.0
162256,1.0,3.0,104527.0,1.0,183.0,31.1,104678.0,1.0,193.0,30.2,5.0,5.0,4.0,6315.0,24.0,1535.0,2016.0,0.0
102395,3.0,4.0,104925.0,1.0,188.0,28.8,106233.0,1.0,185.0,22.5,3.0,5.0,1.0,16540.0,14.0,2510.0,2016.0,0.0
193646,3.0,3.0,104925.0,1.0,188.0,31.6,104745.0,0.0,185.0,32.6,5.0,2.0,1.0,9135.0,2.0,7480.0,2019.0,0.0
144131,2.0,3.0,105227.0,1.0,198.0,28.7,105449.0,1.0,188.0,27.5,5.0,6.0,6.0,4235.0,31.0,1395.0,2017.0,0.0
182014,1.0,4.0,104731.0,1.0,203.0,27.9,104607.0,1.0,196.0,28.6,3.0,6.0,19.0,1800.0,6.0,4780.0,2014.0,1.0
40966,3.0,0.0,106421.0,1.0,198.0,22.6,111575.0,1.0,198.0,22.4,3.0,9.0,21.0,1797.0,26.0,1640.0,2018.0,1.0
60846,3.0,4.0,104586.0,1.0,196.0,29.6,103970.0,1.0,175.0,32.9,3.0,6.0,30.0,1215.0,7.0,4580.0,2015.0,1.0
20680,3.0,0.0,104731.0,1.0,203.0,26.7,104545.0,1.0,206.0,27.8,3.0,3.0,29.0,1260.0,15.0,2125.0,2013.0,1.0
202900,2.0,3.0,106421.0,1.0,198.0,25.3,128034.0,1.0,196.0,24.3,5.0,5.0,2.0,10280.0,18.0,2533.0,2021.0,1.0
2419,3.0,0.0,104678.0,1.0,193.0,30.9,104259.0,1.0,178.0,33.2,3.0,3.0,29.0,1385.0,32.0,1325.0,2017.0,0.0
117109,3.0,0.0,111575.0,1.0,198.0,25.7,111815.0,0.0,188.0,26.4,3.0,5.0,28.0,1748.0,13.0,2865.0,2022.0,1.0
10043,1.0,3.0,104745.0,0.0,185.0,32.9,106233.0,1.0,185.0,25.7,5.0,2.0,2.0,7945.0,4.0,4685.0,2019.0,0.0
146715,3.0,0.0,134770.0,1.0,183.0,22.8,132283.0,1.0,191.0,26.4,3.0,5.0,8.0,3615.0,23.0,2125.0,2021.0,0.0
181034,1.0,0.0,104597.0,1.0,183.0,27.6,104259.0,1.0,178.0,29.5,3.0,9.0,12.0,2450.0,21.0,1690.0,2013.0,0.0
46454,3.0,4.0,104925.0,1.0,188.0,25.7,104542.0,1.0,188.0,27.8,3.0,3.0,1.0,13280.0,8.0,3660.0,2013.0,0.0
78708,3.0,4.0,104792.0,1.0,193.0,29.5,105683.0,1.0,196.0,25.1,3.0,3.0,16.0,1950.0,14.0,2410.0,2016.0,1.0
183402,1.0,4.0,104745.0,0.0,185.0,28.9,104918.0,1.0,190.0,27.9,3.0,2.0,4.0,5390.0,3.0,6220.0,2015.0,1.0
131439,3.0,0.0,104607.0,1.0,196.0,28.0,105683.0,1.0,196.0,22.7,3.0,2.0,6.0,4460.0,11.0,2610.0,2013.0,1.0
140202,1.0,0.0,126094.0,1.0,188.0,22.9,134770.0,1.0,183.0,21.7,3.0,9.0,14.0,2414.0,30.0,1604.0,2020.0,0.0
127559,1.0,3.0,103970.0,1.0,175.0,31.1,104731.0,1.0,203.0,27.0,5.0,5.0,5.0,6740.0,25.0,1420.0,2013.0,0.0
177934,3.0,4.0,103852.0,0.0,188.0,35.0,103970.0,1.0,175.0,34.5,3.0,7.0,28.0,1420.0,15.0,2455.0,2016.0,0.0
138389,3.0,0.0,104468.0,1.0,183.0,31.6,104745.0,0.0,185.0,30.1,3.0,5.0,31.0,1385.0,5.0,4940.0,2016.0,1.0
167862,3.0,4.0,104745.0,0.0,185.0,32.7,103819.0,1.0,185.0,37.5,3.0,9.0,2.0,8365.0,4.0,4600.0,2019.0,1.0
97341,3.0,3.0,104745.0,0.0,185.0,35.6,106421.0,1.0,198.0,25.9,5.0,2.0,5.0,4875.0,2.0,8935.0,2022.0,0.0
96637,3.0,3.0,105227.0,1.0,198.0,29.9,105453.0,1.0,178.0,28.6,5.0,3.0,7.0,4445.0,19.0,1755.0,2018.0,1.0
140086,1.0,4.0,100644.0,1.0,198.0,24.0,105554.0,1.0,175.0,30.9,3.0,5.0,6.0,6125.0,26.0,2140.0,2021.0,0.0
84576,1.0,4.0,126774.0,1.0,193.0,20.7,100644.0,1.0,198.0,22.0,3.0,3.0,9.0,3190.0,4.0,5565.0,2019.0,0.0
61595,3.0,0.0,104731.0,1.0,203.0,31.7,105173.0,0.0,183.0,29.6,3.0,5.0,8.0,2825.0,24.0,1715.0,2018.0,0.0
178359,3.0,4.0,104925.0,1.0,188.0,35.4,111575.0,1.0,198.0,26.4,3.0,5.0,7.0,4320.0,19.0,1945.0,2022.0,0.0
39945,2.0,0.0,104542.0,1.0,188.0,28.1,104918.0,1.0,190.0,26.0,3.0,9.0,7.0,4155.0,2.0,8310.0,2013.0,1.0
110558,2.0,0.0,105227.0,1.0,198.0,28.7,103333.0,1.0,208.0,38.2,3.0,9.0,7.0,4115.0,24.0,1730.0,2017.0,1.0
187419,3.0,0.0,126774.0,1.0,193.0,22.5,128034.0,1.0,196.0,24.0,3.0,5.0,6.0,6595.0,30.0,1735.0,2021.0,0.0
37018,1.0,4.0,105932.0,1.0,185.0,30.1,207989.0,1.0,185.0,18.9,3.0,6.0,27.0,1583.0,9.0,3818.0,2022.0,1.0
87831,1.0,3.0,104527.0,1.0,183.0,32.1,104926.0,1.0,178.0,30.0,5.0,6.0,3.0,5695.0,29.0,1350.0,2017.0,0.0
168288,3.0,0.0,106421.0,1.0,198.0,25.4,104926.0,1.0,178.0,34.1,3.0,5.0,2.0,10370.0,31.0,1801.0,2021.0,0.0
194482,1.0,4.0,106233.0,1.0,185.0,24.6,104926.0,1.0,178.0,30.9,3.0,6.0,8.0,3545.0,21.0,1805.0,2018.0,1.0
197801,2.0,0.0,104468.0,1.0,183.0,28.4,104312.0,1.0,190.0,29.3,3.0,9.0,17.0,1985.0,26.0,1440.0,2013.0,0.0
154890,3.0,0.0,104926.0,1.0,178.0,27.3,105208.0,1.0,190.0,26.0,3.0,6.0,18.0,1870.0,13.0,2455.0,2014.0,1.0
50513,3.0,4.0,104792.0,1.0,193.0,34.9,104545.0,1.0,206.0,36.2,3.0,3.0,24.0,2253.0,30.0,1901.0,2021.0,1.0
35312,1.0,3.0,105208.0,1.0,190.0,25.7,103819.0,1.0,185.0,32.7,5.0,5.0,17.0,2050.0,4.0,5125.0,2014.0,0.0
152372,1.0,4.0,104527.0,1.0,183.0,28.1,105238.0,1.0,180.0,24.5,3.0,6.0,10.0,2675.0,23.0,1420.0,2013.0,1.0
196745,3.0,0.0,104731.0,1.0,203.0,32.4,105453.0,1.0,178.0,28.8,3.0,2.0,8.0,3730.0,11.0,2910.0,2018.0,0.0
76766,3.0,0.0,105683.0,1.0,196.0,25.7,105777.0,1.0,188.0,25.3,3.0,9.0,6.0,4510.0,20.0,1735.0,2016.0,1.0
69023,1.0,4.0,103970.0,1.0,175.0,33.1,105676.0,1.0,180.0,24.4,3.0,3.0,8.0,4310.0,20.0,1705.0,2015.0,0.0
97342,3.0,4.0,105227.0,1.0,198.0,27.8,104918.0,1.0,190.0,29.2,3.0,2.0,14.0,2605.0,2.0,9065.0,2016.0,0.0
122526,3.0,0.0,103970.0,1.0,175.0,34.5,104678.0,1.0,193.0,30.7,3.0,3.0,19.0,2000.0,28.0,1385.0,2016.0,0.0
193553,3.0,1.0,111575.0,1.0,198.0,23.4,106432.0,1.0,188.0,23.0,3.0,8.0,17.0,1840.0,28.0,1415.0,2019.0,0.0
100076,3.0,0.0,126774.0,1.0,193.0,24.1,126094.0,1.0,188.0,24.9,3.0,9.0,6.0,4810.0,9.0,3345.0,2022.0,0.0
63734,3.0,3.0,103333.0,1.0,208.0,37.5,105453.0,1.0,178.0,26.6,5.0,5.0,23.0,1570.0,7.0,4165.0,2016.0,1.0
203392,2.0,3.0,100644.0,1.0,198.0,19.1,104607.0,1.0,196.0,30.7,5.0,6.0,28.0,1385.0,9.0,2950.0,2016.0,1.0
165284,3.0,0.0,106058.0,1.0,185.0,24.0,100644.0,1.0,198.0,19.4,3.0,9.0,23.0,1675.0,20.0,1745.0,2016.0,0.0
121433,1.0,4.0,126774.0,1.0,193.0,23.7,100644.0,1.0,198.0,25.0,3.0,9.0,5.0,5690.0,3.0,7420.0,2022.0,1.0
155352,3.0,4.0,105332.0,1.0,196.0,30.4,104792.0,1.0,193.0,33.1,3.0,6.0,23.0,1528.0,13.0,2350.0,2019.0,1.0
150504,3.0,2.0,105453.0,1.0,178.0,26.8,104527.0,1.0,183.0,31.6,3.0,8.0,5.0,4705.0,3.0,5115.0,2016.0,0.0
62730,1.0,4.0,206173.0,1.0,188.0,19.7,200005.0,0.0,188.0,22.8,3.0,7.0,18.0,2545.0,32.0,1825.0,2021.0,0.0
141728,3.0,4.0,105138.0,1.0,183.0,31.5,200282.0,1.0,183.0,20.6,3.0,6.0,10.0,2575.0,18.0,1695.0,2019.0,1.0
126919,3.0,3.0,106298.0,1.0,185.0,22.5,105138.0,1.0,183.0,28.3,5.0,6.0,25.0,1481.0,17.0,2040.0,2016.0,0.0
69327,3.0,2.0,111815.0,0.0,188.0,26.2,134770.0,1.0,183.0,22.8,3.0,8.0,12.0,2945.0,8.0,3760.0,2021.0,1.0
32769,3.0,0.0,126774.0,1.0,193.0,24.1,208029.0,1.0,185.0,19.4,3.0,2.0,5.0,4930.0,27.0,1461.0,2022.0,1.0
66154,3.0,0.0,105138.0,1.0,183.0,32.8,126094.0,1.0,188.0,23.3,3.0,9.0,13.0,2770.0,8.0,5019.0,2021.0,0.0
2662,1.0,4.0,104731.0,1.0,203.0,26.9,104607.0,1.0,196.0,27.6,3.0,5.0,27.0,1340.0,6.0,4520.0,2013.0,1.0
98244,3.0,0.0,106043.0,1.0,170.0,27.1,106233.0,1.0,185.0,26.1,3.0,2.0,15.0,1950.0,5.0,5085.0,2019.0,1.0
177414,3.0,4.0,103970.0,1.0,175.0,32.3,104022.0,1.0,183.0,32.1,3.0,5.0,6.0,4255.0,25.0,1495.0,2014.0,0.0
75366,1.0,0.0,206173.0,1.0,188.0,19.6,126094.0,1.0,188.0,23.4,3.0,3.0,19.0,2394.0,7.0,5955.0,2021.0,0.0
182306,1.0,3.0,103819.0,1.0,185.0,33.7,104527.0,1.0,183.0,30.1,5.0,3.0,2.0,9235.0,9.0,3845.0,2015.0,1.0
148999,3.0,1.0,106432.0,1.0,188.0,25.8,126610.0,1.0,196.0,26.4,3.0,8.0,26.0,1405.0,15.0,2360.0,2022.0,1.0
91783,3.0,3.0,105064.0,0.0,188.0,27.6,104918.0,1.0,190.0,28.2,5.0,6.0,30.0,1190.0,3.0,8840.0,2015.0,1.0
78369,1.0,4.0,104918.0,1.0,190.0,28.9,104925.0,1.0,188.0,28.9,3.0,2.0,2.0,7925.0,1.0,15550.0,2016.0,1.0
181909,3.0,4.0,105227.0,1.0,198.0,27.4,104755.0,1.0,185.0,29.7,3.0,5.0,12.0,2555.0,10.0,2715.0,2016.0,0.0
187204,3.0,4.0,105676.0,1.0,180.0,26.8,105173.0,0.0,183.0,29.3,3.0,6.0,10.0,2975.0,28.0,1590.0,2017.0,0.0
153404,3.0,3.0,106421.0,1.0,198.0,24.5,126094.0,1.0,188.0,22.8,5.0,3.0,5.0,5890.0,14.0,2234.0,2020.0,0.0
179501,2.0,3.0,104731.0,1.0,203.0,27.1,104607.0,1.0,196.0,27.7,5.0,6.0,23.0,1510.0,6.0,4515.0,2013.0,1.0
144728,3.0,1.0,104312.0,1.0,190.0,29.1,105683.0,1.0,196.0,22.2,5.0,8.0,18.0,1865.0,16.0,2095.0,2013.0,1.0
202155,1.0,3.0,104527.0,1.0,183.0,28.1,105668.0,1.0,203.0,22.5,5.0,6.0,10.0,2630.0,23.0,1524.0,2013.0,0.0
18232,1.0,4.0,104755.0,1.0,185.0,29.8,105453.0,1.0,178.0,26.3,3.0,5.0,12.0,2635.0,6.0,4290.0,2016.0,1.0
66923,1.0,1.0,104918.0,1.0,190.0,26.8,104926.0,1.0,178.0,26.8,5.0,8.0,8.0,3975.0,13.0,2340.0,2014.0,1.0
176651,3.0,3.0,105683.0,1.0,196.0,23.0,105777.0,1.0,188.0,22.6,5.0,6.0,11.0,2860.0,22.0,1460.0,2014.0,1.0
176183,3.0,3.0,200282.0,1.0,183.0,23.5,105807.0,1.0,188.0,31.1,5.0,6.0,20.0,1665.0,15.0,2340.0,2022.0,1.0
153485,1.0,4.0,104545.0,1.0,206.0,30.0,104745.0,0.0,185.0,28.9,3.0,5.0,17.0,1855.0,7.0,4990.0,2015.0,1.0
14885,1.0,4.0,105550.0,0.0,185.0,28.9,106421.0,1.0,198.0,23.2,3.0,7.0,26.0,1470.0,14.0,2625.0,2019.0,0.0
184291,3.0,4.0,133430.0,0.0,185.0,23.3,200282.0,1.0,183.0,23.4,3.0,7.0,22.0,1560.0,21.0,1585.0,2022.0,1.0
128000,1.0,4.0,104745.0,0.0,185.0,30.9,106058.0,1.0,185.0,24.6,3.0,5.0,4.0,5195.0,14.0,2370.0,2017.0,0.0
34344,2.0,3.0,128034.0,1.0,196.0,24.3,106421.0,1.0,198.0,25.3,5.0,5.0,18.0,2533.0,2.0,10280.0,2021.0,0.0
175336,3.0,3.0,103819.0,1.0,185.0,33.0,105227.0,1.0,198.0,25.9,5.0,9.0,3.0,7490.0,16.0,1845.0,2014.0,1.0
66186,1.0,3.0,200175.0,1.0,183.0,22.7,106421.0,1.0,198.0,26.2,5.0,6.0,31.0,1316.0,2.0,7980.0,2022.0,1.0
22914,1.0,4.0,105777.0,1.0,188.0,25.9,103333.0,1.0,208.0,38.1,3.0,6.0,12.0,2820.0,22.0,1830.0,2017.0,0.0
25018,3.0,0.0,104731.0,1.0,203.0,29.6,106058.0,1.0,185.0,23.2,3.0,3.0,12.0,2475.0,26.0,1465.0,2016.0,1.0
8592,3.0,4.0,105227.0,1.0,198.0,26.0,103333.0,1.0,208.0,35.6,3.0,7.0,9.0,3935.0,31.0,1195.0,2014.0,1.0
35631,1.0,0.0,134770.0,1.0,183.0,21.7,126094.0,1.0,188.0,22.9,3.0,9.0,30.0,1604.0,14.0,2414.0,2020.0,1.0
131568,3.0,4.0,105238.0,1.0,180.0,25.3,104607.0,1.0,196.0,28.4,3.0,3.0,23.0,1555.0,7.0,4540.0,2014.0,1.0
140821,3.0,2.0,103819.0,1.0,185.0,33.2,104925.0,1.0,188.0,27.4,3.0,2.0,2.0,8700.0,1.0,10010.0,2014.0,1.0
69364,3.0,0.0,106421.0,1.0,198.0,26.6,105777.0,1.0,188.0,31.4,3.0,9.0,4.0,5155.0,32.0,1280.0,2022.0,0.0
86719,3.0,0.0,103970.0,1.0,175.0,32.5,104918.0,1.0,190.0,27.4,3.0,9.0,5.0,4585.0,10.0,3795.0,2014.0,1.0
117895,3.0,3.0,104545.0,1.0,206.0,33.3,105683.0,1.0,196.0,27.6,5.0,5.0,11.0,3200.0,24.0,1575.0,2018.0,0.0
11392,3.0,4.0,126774.0,1.0,193.0,22.9,124187.0,1.0,211.0,23.9,3.0,9.0,3.0,8115.0,32.0,1741.0,2021.0,1.0
165156,1.0,4.0,106234.0,1.0,185.0,27.6,126774.0,1.0,193.0,22.6,3.0,6.0,29.0,1918.0,5.0,7040.0,2021.0,1.0
123196,3.0,4.0,105138.0,1.0,183.0,26.5,105683.0,1.0,196.0,23.8,3.0,5.0,15.0,2065.0,10.0,3930.0,2014.0,1.0
125513,3.0,3.0,104607.0,1.0,196.0,32.3,104926.0,1.0,178.0,30.6,5.0,5.0,20.0,2050.0,25.0,1715.0,2018.0,0.0
57245,3.0,4.0,128034.0,1.0,196.0,24.4,106421.0,1.0,198.0,25.4,3.0,3.0,13.0,3118.0,2.0,9643.0,2021.0,1.0
66968,3.0,4.0,104607.0,1.0,196.0,30.4,105683.0,1.0,196.0,25.1,3.0,5.0,7.0,3900.0,14.0,2410.0,2016.0,1.0
157066,3.0,4.0,104925.0,1.0,188.0,26.7,104545.0,1.0,206.0,28.8,3.0,9.0,2.0,10260.0,13.0,2320.0,2014.0,0.0
91793,3.0,0.0,105332.0,1.0,196.0,31.7,106233.0,1.0,185.0,27.4,3.0,8.0,28.0,1738.0,3.0,9125.0,2021.0,1.0
172825,3.0,0.0,106043.0,1.0,170.0,25.1,105807.0,1.0,188.0,26.2,3.0,5.0,26.0,1720.0,11.0,2650.0,2017.0,0.0
65985,1.0,4.0,104925.0,1.0,188.0,34.9,134770.0,1.0,183.0,23.3,3.0,9.0,1.0,8260.0,10.0,3760.0,2022.0,0.0
169548,3.0,0.0,104022.0,1.0,183.0,31.3,104259.0,1.0,178.0,30.0,3.0,5.0,21.0,1735.0,24.0,1445.0,2013.0,0.0
165470,1.0,4.0,104925.0,1.0,188.0,33.8,206173.0,1.0,188.0,19.6,3.0,6.0,1.0,11963.0,22.0,2369.0,2021.0,0.0
86969,1.0,0.0,104871.0,1.0,188.0,26.1,104338.0,1.0,185.0,29.0,3.0,5.0,26.0,1296.0,20.0,1785.0,2013.0,1.0
