,surface,tourney_level,second_id,second_hand,second_ht,second_age,first_id,first_hand,first_ht,first_age,best_of,round,second_rank,second_rank_points,first_rank,first_rank_points,tourney_year,label
92430,2.0,3.0,103819.0,1.0,185.0,33.8,104925.0,1.0,188.0,28.1,5.0,2.0,2.0,9665.0,1.0,13845.0,2015.0,1.0
10964,3.0,3.0,104745.0,0.0,185.0,27.6,104527.0,1.0,183.0,28.7,5.0,2.0,1.0,13130.0,8.0,3890.0,2014.0,1.0
81963,3.0,4.0,126610.0,1.0,196.0,25.3,200000.0,1.0,193.0,21.0,3.0,5.0,8.0,5533.0,17.0,2693.0,2021.0,1.0
154223,1.0,0.0,104338.0,1.0,185.0,29.2,105777.0,1.0,188.0,22.1,3.0,3.0,20.0,1740.0,29.0,1330.0,2013.0,1.0
38336,3.0,0.0,104745.0,0.0,185.0,27.5,105208.0,1.0,190.0,25.3,3.0,3.0,1.0,13030.0,24.0,1393.0,2013.0,0.0
129703,3.0,3.0,104745.0,0.0,185.0,33.6,105807.0,1.0,188.0,28.5,5.0,6.0,1.0,10235.0,30.0,1422.0,2020.0,0.0
144490,1.0,4.0,104607.0,1.0,196.0,29.5,104925.0,1.0,188.0,27.8,3.0,2.0,8.0,4510.0,1.0,13205.0,2015.0,1.0
111931,3.0,4.0,103990.0,1.0,180.0,32.8,105777.0,1.0,188.0,23.8,3.0,6.0,19.0,1755.0,11.0,3055.0,2015.0,0.0
32043,3.0,4.0,104545.0,1.0,206.0,36.2,104792.0,1.0,193.0,34.9,3.0,3.0,30.0,1901.0,24.0,2253.0,2021.0,0.0
101103,3.0,3.0,104918.0,1.0,190.0,29.2,105777.0,1.0,188.0,25.2,5.0,5.0,2.0,9305.0,24.0,1555.0,2016.0,0.0
3186,1.0,4.0,105453.0,1.0,178.0,26.3,106401.0,1.0,193.0,21.0,3.0,3.0,6.0,4290.0,21.0,1705.0,2016.0,0.0
101984,3.0,4.0,104586.0,1.0,196.0,29.2,105676.0,1.0,180.0,23.8,3.0,7.0,29.0,1245.0,22.0,1566.0,2014.0,1.0
44311,3.0,0.0,126203.0,1.0,193.0,21.9,100644.0,1.0,198.0,22.5,3.0,6.0,31.0,1360.0,6.0,4425.0,2019.0,0.0
132846,3.0,4.0,105138.0,1.0,183.0,32.9,106421.0,1.0,198.0,25.1,3.0,3.0,12.0,2910.0,2.0,9940.0,2021.0,0.0
73093,3.0,2.0,104925.0,1.0,188.0,28.4,104607.0,1.0,196.0,30.1,3.0,8.0,1.0,15285.0,6.0,4620.0,2015.0,0.0
131685,3.0,0.0,200282.0,1.0,183.0,23.6,133430.0,0.0,185.0,23.5,3.0,3.0,23.0,1665.0,20.0,1880.0,2022.0,0.0
18278,3.0,3.0,134770.0,1.0,183.0,23.6,111575.0,1.0,198.0,26.2,5.0,9.0,7.0,4695.0,31.0,1315.0,2022.0,0.0
88582,1.0,0.0,105227.0,1.0,198.0,27.6,103970.0,1.0,175.0,34.1,3.0,9.0,11.0,2715.0,12.0,2650.0,2016.0,0.0
89847,3.0,3.0,104925.0,1.0,188.0,34.2,126610.0,1.0,196.0,25.3,5.0,3.0,1.0,11113.0,8.0,5533.0,2021.0,0.0
161994,3.0,0.0,126774.0,1.0,193.0,21.5,104925.0,1.0,188.0,32.7,3.0,2.0,6.0,4745.0,1.0,9720.0,2020.0,1.0
201279,3.0,1.0,126094.0,1.0,188.0,22.0,105138.0,1.0,183.0,31.5,3.0,8.0,23.0,1584.0,9.0,2540.0,2019.0,0.0
151682,3.0,2.0,103970.0,1.0,175.0,31.5,104607.0,1.0,196.0,28.1,3.0,8.0,3.0,5800.0,6.0,3980.0,2013.0,1.0
50037,3.0,3.0,104999.0,0.0,190.0,30.0,104545.0,1.0,206.0,32.3,5.0,6.0,27.0,1484.0,15.0,2425.0,2017.0,0.0
164731,3.0,1.0,206173.0,1.0,188.0,21.0,202103.0,1.0,185.0,24.0,3.0,8.0,11.0,3200.0,27.0,1394.0,2022.0,0.0
118928,3.0,4.0,104925.0,1.0,188.0,28.2,104527.0,1.0,183.0,30.3,3.0,3.0,1.0,14265.0,5.0,5575.0,2015.0,0.0
103036,1.0,0.0,103970.0,1.0,175.0,34.1,105227.0,1.0,198.0,27.6,3.0,9.0,12.0,2650.0,11.0,2715.0,2016.0,1.0
128367,3.0,4.0,103819.0,1.0,185.0,33.2,104871.0,1.0,188.0,27.7,3.0,6.0,2.0,9280.0,30.0,1205.0,2014.0,0.0
